text,label
Злорадствуй.,4
Она предвкушала.,0
Она не хихикала.,1
Она торжествовала.,0
Цвети?,0
Забеспокойся?,3
Она невзлюбила!,4
Она не восхищалась!,4
Возрадуйся.,0
Она не устрашалась!,3
Она взъярилась?,4
Поразись.,2
Конфузься?,3
Она обалдела.,2
Не переживай!,0
Повеселей?,0
Она сердилась?,4
Процветай.,0
Она не устрашила?,3
Умайся?,2
Прогневайся.,4
Она повеселела?,0
Не восхищай.,0
Она не злила?,2
Она терроризировала?,4
Не изведись!,4
Она не отчаивалась!,4
Не утоми!,4
Скисай.,4
Она не болела?,2
Надуйся.,4
Она взбадривалась.,0
Она запугала?,2
Конфузься!,3
Не дрожи?,2
Не уважай!,4
Она не конфузилась?,2
Не улыбайся?,1
Удовлетворяй.,0
Сердись?,2
Страдай!,4
Не плачь?,4
Не точи?,2
Она не запугала!,4
Она погоревала.,1
Она не напугала!,4
Не поникни!,0
Она не покаялась?,2
Она истерзалась.,3
Не расстройся!,0
Она скисала?,2
Она не убивалась?,4
Она леденела?,3
Она маялась.,1
Не вытерпи?,4
Она терзалась?,4
Погрусти.,1
Она невзлюбила.,4
Она опупела?,4
Она не разгневалась.,0
Она не гордилась.,1
Не поволнуйся.,0
Не опьяней?,4
Она не боялась?,2
Не устрашайся!,4
Она не разревелась.,2
Не озлобь.,3
Не обидь?,2
Она терроризировала!,3
Не заинтересуй!,4
Она не скучала!,1
Не изнемогай!,4
Не восхищай!,4
Она не страшила?,2
Не убивай?,4
Не обалдевай.,4
Освежись.,0
Она не приободрилась!,4
Она не удовлетворялась!,4
Она потрясла?,2
Прослезись?,2
Она смела?,4
Не покайся!,4
Огорчи.,1
Взбадривайся.,0
Она не возрыдала?,4
Бойся!,3
Упейся!,4
Не изведись?,2
Она не изнуряла.,0
Она переволновалась.,3
Она вдохновлялась!,0
Она изнывала!,1
Она не привязывалась.,1
Соскучься.,1
Она истосковалась?,1
Не насыться.,0
Она свирепела?,2
Возмущайся!,4
Беси?,2
Не расстраивайся.,0
Не возвеселись?,2
Она убоялась?,3
Она удовлетворилась?,0
Грусти!,1
Не торжествуй?,2
Она не переутомила!,4
Она не погрустнела!,0
Не переволнуйся?,2
Она понервничала.,3
Не томись?,2
Не обозли!,4
Изной?,1
Она удовлетворяла.,0
Не бесись?,4
Она не осознавала?,2
Она поверила?,2
Она удовлетворилась.,0
Она переболела.,1
Она не балдела!,2
Не балдей?,4
Не ужасай!,4
Не балдей!,4
Не труси?,2
Она истомилась?,2
Она не дулась!,4
Измотайся?,4
Она вспылила.,4
Она не недолюбливала.,0
Окрылись!,0
Она не позлилась.,0
Она не стеснялась?,2
Не взбеси.,4
Не рассерди?,2
Утомляй.,1
Не гневи.,4
Изумись?,2
Она терпела.,3
Замучься?,4
Стыдись!,3
Она не измучилась!,4
Расстрой.,1
Она измучилась!,3
Она не утомлялась?,2
Она домучилась?,4
Не насыщайся?,4
Разгневай!,4
Она томилась.,1
Она не затосковала!,4
Не смутись.,0
Измотайся.,1
Она не переутомляла!,0
Ошеломи!,2
Она изматывала!,4
Она не помрачала?,2
Она упивалась.,4
Она травмировала!,4
Она подступала!,3
Она мечтала.,0
Домучься.,1
Надоедай.,1
Она взорвала.,4
Она не сломилась.,0
Не восторгай.,1
Она изнервничалась?,2
Не позлорадствуй?,4
Освежай?,0
Взорви.,4
Раздражись!,4
Разочаруй?,2
Она не подосадовала!,0
Не смей!,4
Переболей?,2
Не тревожься!,0
Не обалдей.,4
Не рассвирепей!,4
Она пела?,2
Встревожь?,2
Сохни.,4
Не вытерпи.,4
Она не возвеселилась!,4
Она отчаивалась!,0
Она не скисла!,0
Не понравься?,2
Она раздражала?,2
Струхни.,3
Она не смела.,4
Ослепи?,4
Не наслаждайся?,2
Она воспрянула.,0
Она ужасала.,3
Не надивись!,0
Не сломись.,0
Не повеселись?,2
Она огорчила!,1
Она не удивлялась?,2
Не опостылей.,4
Она услаждалась!,0
Наслаждайся.,0
Она поразила?,2
Она спугивала!,3
Она возрадовалась!,0
Не льсти?,2
Убивай?,4
Не скучай?,2
Она развлекала?,2
Растревоживай.,3
Разнервничайся.,3
Не серчай!,0
Ужасай!,3
Гневи.,4
Она не ободрялась!,1
Она не взорвалась?,2
Она не сломилась?,2
Не воспрянь?,2
Она настрадалась!,1
Не содрогайся!,4
Не разревись.,4
Она не угрюмела?,2
Она не удовольствовалась!,1
Она не разочаровала?,2
Она развлекла!,0
Она не унывала?,2
Она взорвала!,0
Она не тушевалась!,0
Застращай?,2
Измотай!,3
Она вспылила?,2
Она не поникла!,0
Жалей?,1
Ликуй!,0
Не потоскуй?,2
Она казнилась?,2
Она надулась.,1
Она страшилась?,2
Изнывай.,1
Она пуганула?,3
Огорчайся.,1
Она не опасалась?,2
Позлорадствуй!,4
Раздосадуй.,1
Не скисни?,2
Она не затравила.,0
Порадуйся!,0
Она не досадовала?,2
Омрачись?,2
Раздразни!,4
Она не угрожала!,2
Обожай.,0
Она расцвела?,0
Раздразнивай.,4
Она не опечалила.,0
Не взорвись.,4
Трепещи!,3
Она запугала.,3
Не прогневай.,4
Она не паниковала?,2
Сдрейфи!,4
Она повеселела.,0
Она озлобляла.,4
Она сникала.,1
Она злобствовала.,4
Удручай!,1
Не возмущайся?,4
Она не убоялась?,2
Возвеселись.,0
Не раздражи?,4
Не растревожь?,2
Изнемогай!,1
Не удивись?,2
Она не восхитилась!,4
Измучься?,4
Она утомляла.,1
Казнись!,4
Она приободрилась!,0
Напугайся.,3
Она сконфузилась!,3
Она взбеленилась.,4
Она приунывала!,1
Сторонись.,3
Она не недолюбливала?,2
Она поощряла!,0
Не дивись?,2
Она тушевалась.,3
Устрашайся.,3
Она не поражалась?,2
Она воскресала!,0
Дрейфи?,2
Она обидела!,1
Не недолюбливай?,2
Она не услаждалась.,1
Освежи?,2
Она не озлила?,3
Она забеспокоилась?,2
Не поднимай?,2
Обрадуй?,0
Разозлись!,4
Беспокойся?,3
Не осердись?,2
Она мучила?,1
Убивай.,4
Она не веселила!,1
Развесели!,0
Настрадайся?,2
Она не сломила?,2
Заинтересуй.,0
Она печалилась.,1
Она не удовольствовалась?,1
Горюй?,1
Она встряхивалась!,0
Она погрустила?,2
Не стоскуйся.,0
Она раздражилась!,4
Она разволновала.,3
Она туманилась?,2
Не ужасай?,2
Она приунывала.,1
Возмути?,2
Не опасайся.,0
Она не помрачала.,0
Она не озлобила.,0
Она заледенела?,2
Она не убивалась!,4
Она не испугалась?,2
Изматывайся!,1
Она утомляла!,4
Она повредила?,2
Устрашись!,3
Она торжествовала!,0
Она не удовлетворялась.,1
Она не загрустила.,0
Она не хандрила.,0
Не поощряй?,2
Она окрылила?,2
Она раздосадовалась!,1
Она не повеселилась.,1
Обожгись!,4
Она не изнывала?,2
Услаждайся!,0
Плачь!,1
Измотай.,4
Она гордилась!,0
Она не переутомляла?,2
Взвой?,1
Она обмерла.,3
Взъярись!,4
Не погневайся.,3
Не побаивайся!,0
Дивись!,0
Не замучься?,2
Не раздражайся.,4
Волнуйся!,3
Опечаливай?,2
Удивись.,2
Возмущай.,4
Она не исстрадалась?,4
Она не ранила?,2
Гневайся?,2
Проплачь?,2
Перепугайся!,3
Она не тужила?,2
Вытерпи!,0
Не упивайся?,2
Не загрусти!,0
Она не огорчала.,0
Она балдела!,0
Рыдай!,1
Досадуй.,1
Она не повредила?,2
Она не устрашила!,0
Она не опьянела?,2
Утомляйся!,1
Раздави?,2
Посмеивайся?,0
Не воспрянь!,4
Она скисла?,2
Не взбадривайся?,1
Она истомилась!,1
Она балдела?,2
Не подбодрись!,1
Не стращай!,4
Угрюмей?,1
Она скорбела.,1
Она волновалась!,3
Пригорюнься.,1
Не подшучивай!,4
Она не услаждалась?,2
Она разнервничалась!,3
Она натерпелась!,4
Она привязывалась!,1
Поражайся!,2
Она не взбеленила?,2
Поникни.,1
Она изныла?,4
Она позлилась!,4
Не струхни?,2
Стращай?,2
Не погорюй.,0
Разревись.,1
Она восхищалась!,0
Она мучила!,1
Топай!,4
Не гнети!,0
Разочаруйся!,1
Удивись?,2
Она не печалилась.,0
Она не горевала!,0
Не расстройся?,2
Она не терзалась!,0
Стесняйся!,3
Не утоми.,4
Не рассмейся!,1
Не сломи!,0
Хандри!,4
Она смущала!,3
Не освещай!,4
Она опасалась?,2
Омрачи!,1
Она не веселила.,1
Она не доставала?,2
Обеспокой?,3
Она сломилась?,2
Возрадуйся!,0
Не стыдись!,0
Плачь.,1
Испугайся?,3
Не раздосадуйся!,0
Не исстрадайся!,4
Она заволновалась!,3
Обожгись.,4
Она не наскучила!,4
Вытерпи?,2
Она взорвалась?,3
Она проклинала?,4
Она не омрачалась!,3
Раздражись?,4
Посмейся.,0
Она устыдилась.,3
Не взвой?,2
Она озлобила.,4
Она спугивала?,2
Она не разнервничалась?,2
Она переутомляла.,1
Она тревожила!,3
Не грусти?,1
Не презирай!,4
Она не изумила?,2
Она поражалась.,2
Не обалдей!,4
Она блаженствовала.,0
Она не посетовала!,2
Она не опечалилась!,0
Не закручинься.,0
Не разочаруйся?,4
Она не взбеленилась?,3
Не надоедай?,2
Утоми.,1
Она изматывалась?,1
Она понравилась!,0
Она надоедала!,4
Она омрачила?,2
Не стервеней?,4
Она не свирепела.,0
Не обалдевай!,4
Не ненавидь.,0
Не удручай!,1
Она не запугивала?,2
Она сконфузилась.,3
Не прослезись!,0
Она погрустнела.,1
Она переволновалась?,2
Она порадовала.,0
Она не изнемогала!,4
Она удивила!,2
Она конфузилась!,3
Запугивай!,3
Она не сокрушила!,0
Расцвети.,0
Она оплакала.,1
Насыться.,0
Она подбодрилась.,0
Изумляй.,2
Не перепугайся!,0
Светись.,0
Пошути!,0
Она не расстраивалась!,0
Погрустней!,1
Она нервничала!,3
Она не цвела.,1
Обожгись?,2
Она сердила!,4
Она не обидела?,2
Она не оплакивала!,4
Ужаснись.,3
Она не ужаснулась!,0
Она восторгалась!,0
Она не надеялась?,2
Она не расцветала!,1
Она не светилась!,1
Она не забеспокоилась!,0
Выстрадай.,1
Не угрюмей.,0
Не томись!,0
Она порадовалась?,0
Не мучь.,1
Она смеялась.,0
Она удовлетворяла!,0
Она досадовала.,1
Не хлебни?,2
Воспрянь.,0
Не остолбеней?,2
Она не загоревала?,2
Она не измаялась?,2
Она не радовалась?,1
Не упейся?,4
Любуйся!,0
Она осточертела!,4
Упейся?,2
Беси.,4
Приободряйся!,0
Она не кручинилась.,0
Сокрушайся.,1
Трясись.,3
Она наслаждалась?,0
Не изводись?,1
Она домучилась!,1
Не вымотай.,1
Не разъяри!,3
Она не подавляла!,4
Не цвети.,1
Не озли?,4
Гневи!,4
Предвкушай.,0
Она не захватывала?,2
Светись!,0
Она изнемогла.,1
Она не обиделась?,2
Она растревожила!,3
Она не раздражала!,0
Она не понервничала?,2
Не вознегодуй!,4
Не шантажируй!,4
Она не приунывала!,0
Не убей.,4
Не травмируй!,4
Она расстраивалась!,1
Она возмущала.,4
Она испугалась?,2
Она возмутилась!,4
Она опечаливала?,2
Она не встревожилась?,2
Она погрустнела?,2
Поволнуйся.,3
Замучивайся?,2
Она не отпугивала.,0
Не беси!,4
Рассвирепей?,4
Она не сконфузилась!,2
